"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2014-04-30,"Merle Hay","IA","Des Moines","Polk","Des Moines",1287,1038,-0.00764818355640535,-0.032618825722274,-0.00479386385426654,3701
2014-04-30,"Mandarin","FL","Jacksonville","Duval","Jacksonville",1288,1623,-0.00061576354679803,-0.0298864315600717,0.00932835820895522,3984
2014-04-30,"Clairemont Mesa West","CA","San Diego","San Diego","San Diego",1289,2295,0.00569675723049956,0.0105680317040951,0.0319244604316547,3866
2014-04-30,"West Meadows","FL","Tampa","Hillsborough","Tampa",1290,1487,0.00134680134680135,0.00677048070412999,0.0814545454545455,4328
2014-04-30,"East Falls","PA","Philadelphia","Philadelphia","Philadelphia",1291,1500,0.00334448160535117,0.00942126514131898,0.015572105619499,2935
2014-04-30,"Huffman-O'Malley","AK","Anchorage","Anchorage","Anchorage",1292,2553,0.0106888361045131,0.0232464929859719,0.0031434184675835,3526
2014-04-30,"Pomonok","NY","New York","Queens","New York",1293,2036,-0.00537371763556424,0.00792079207920792,0.0783898305084746,729
2014-04-30,"Old Louisville","KY","Louisville/Jefferson County","Jefferson","Louisville",1294,955,-0.022517911975435,-0.00727650727650728,0.0718294051627385,1196
2014-04-30,"Budlong Woods","IL","Chicago","Cook","Chicago",1295,1690,-0.00588235294117647,0.0119760479041916,0.127418278852568,2213
2014-04-30,"Reservorir","KY","Lexington","Fayette","Lexington",1296,1955,0.00825167612171222,0.0376857749469214,0.139941690962099,2524
2014-04-30,"Airport","CA","Riverside","Riverside","Riverside",1297,1492,-0.00731869594145043,-0.0222804718217562,0.00878972278566599,1831
2014-04-30,"Tam O'Shanter","CA","Stockton","San Joaquin","Stockton",1298,1091,-0.00274223034734918,0.00275735294117647,0.0148837209302326,1818
2014-04-30,"Oakley","OH","Cincinnati","Hamilton","Cincinnati",1299,1341,0.00149365197908887,-0.0211678832116788,0.0753809141940658,2592
2014-04-30,"Los Angeles Heights - Keystone","TX","San Antonio","Bexar","San Antonio",1300,897,0.018161180476731,0.0430232558139535,0.0602836879432624,1369
2014-04-30,"Portsmouth","OR","Portland","Multnomah","Portland",1301,1426,0.00706214689265537,0.0477590007347539,0.0721804511278196,2306
2014-04-30,"Highlands","FL","Jacksonville","Duval","Jacksonville",1302,895,-0.00665926748057714,-0.00995575221238938,0.00448933782267116,2859
2014-04-30,"Richmond Town","NY","New York","Richmond","New York",1303,2234,0.0304428044280443,0.0807934204160619,0.00994575045207957,2691
2014-04-30,"Highland Hills","NV","Las Vegas","Clark","Henderson",1304,1171,-0.00170502983802217,-0.00509770603228547,0.0121002592912705,3287
2014-04-30,"South Arroyo","CA","Los Angeles","Los Angeles","Pasadena",1305,3087,-0.00483558994197292,0.00422901756668835,0.0215089344804765,3677
2014-04-30,"Southwest Ada County Alliance","ID","Boise City","Ada","Boise",1306,1258,0.00239043824701195,0.00239043824701195,0.0362438220757825,3481
2014-04-30,"Ruby Hill","CO","Denver","Denver","Denver",1307,1319,0.00995405819295559,0.0443388756927949,0.091887417218543,2437
2014-04-30,"College Hill","RI","Providence","Providence","Providence",1308,1724,-0.0265386787125918,-0.00691244239631336,-0.0292792792792793,772
2014-04-30,"Eagle River","AK","Anchorage","Anchorage","Anchorage",1309,1882,0.00857449088960343,-0.00528541226215645,-0.0733628754308223,3017
2014-04-30,"East Rock","CT","New Haven","New Haven","New Haven",1310,1722,0.000581057524694945,-0.0148741418764302,-0.0374510899944103,667
2014-04-30,"Eastlake Greens","CA","San Diego","San Diego","Chula Vista",1311,2265,0.00310008857395926,0.00398936170212766,0.0323609845031905,2783
2014-04-30,"Warm Springs","CA","San Francisco","Alameda","Fremont",1312,2661,0.00037593984962406,0.0266203703703704,0.0874540253371475,3145
2014-04-30,"Sunset Hills","VA","Washington","Fairfax","Reston",1313,2106,-0.0056657223796034,-0.0154277699859748,-0.0056657223796034,4107
2014-04-30,"Churchill Area","OR","Eugene","Lane","Eugene",1314,1276,-0.0046801872074883,0.000784313725490196,0.0545454545454545,3538
2014-04-30,"Pleasant Grove West","VA","Virginia Beach","Chesapeake City","Chesapeake",1315,2078,-0.00192122958693564,0.0196270853778214,0.00483558994197292,2453
2014-04-30,"Prince's Bay","NY","New York","Richmond","New York",1316,2343,0.0151646447140381,0.086230876216968,0.0134083044982699,1497
2014-04-30,"Beverly","OH","Toledo","Lucas","Toledo",1317,929,0.0119825708061002,0.0580865603644647,0.0231277533039648,3751
2014-04-30,"Los Altos","CA","Los Angeles","Los Angeles","Long Beach",1318,2337,0.00300429184549356,0.00645994832041344,-0.00128205128205128,3330
2014-04-30,"Tottenville","NY","New York","Richmond","New York",1319,2213,0.00590909090909091,0.0375058602906704,-0.0319335083114611,1971
2014-04-30,"Ingleside","CA","San Francisco","San Francisco","San Francisco",1320,3052,0.0214190093708166,0.0660146699266504,0.0742696233720521,1903
2014-04-30,"Verdugo Viejo","CA","Los Angeles","Los Angeles","Glendale",1321,2179,0.00183908045977011,0.00739713361072584,0.029773156899811,1676
2014-04-30,"West Colfax","CO","Denver","Denver","Denver",1322,1562,0.0123136746597537,0.0358090185676393,0.109375,1430
2014-04-30,"Mid - City","CA","Los Angeles","Orange","Santa Ana",1323,2131,-0.00093764650726676,-0.00745225896599907,0.0430739109153206,1209
2014-04-30,"Cudell","OH","Cleveland","Cuyahoga","Cleveland",1324,834,0.00846432889963724,0.0373134328358209,0.0464240903387704,1813
2014-04-30,"Wiehle Ave - Reston Pky","VA","Washington","Fairfax","Reston",1325,2696,-0.00111152278621712,-0.00699815837937385,-0.0288184438040346,3385
2014-04-30,"West Kensington","PA","Philadelphia","Philadelphia","Philadelphia",1326,1121,-0.0140721196130167,-0.0158033362598771,0.0117328519855596,2748
2014-04-30,"Near Northeast","NY","Syracuse","Onondaga","Syracuse",1327,961,-0.0173824130879346,0.00523012552301255,-0.0447316103379722,601
2014-04-30,"Belmont","OH","Dayton","Montgomery","Dayton",1328,731,0.00550206327372765,-0.00679347826086957,0.0427960057061341,3942
2014-04-30,"Falcon","CO","Colorado Springs","El Paso","Colorado Springs",1329,1308,0.00153139356814701,0.00229885057471264,0.024275646045419,2755
2014-04-30,"Parker Lane","TX","Austin","Travis","Austin",1330,1445,0,0.0140350877192982,0.10727969348659,937
2014-04-30,"College West","CA","San Diego","San Diego","San Diego",1331,2349,0.0142487046632124,0.0338908450704225,0.0686988171064604,2284
2014-04-30,"Sunnyside","CO","Denver","Denver","Denver",1332,1730,-0.00345622119815668,-0.00115473441108545,0.0465819721718088,2876
2014-04-30,"Florida Center North","FL","Orlando","Orange","Orlando",1333,892,-0.00335195530726257,0.0045045045045045,0.0420560747663551,2977
2014-04-30,"Overtown","FL","Miami-Fort Lauderdale","Miami-Dade","Miami",1334,1531,0.0013080444735121,0.0132362673726009,0.0804516584333098,1025
2014-04-30,"East Cambridge","MA","Boston","Middlesex","Cambridge",1335,2729,0.0126159554730983,0.0217147135904156,0.0118650352243233,2623
